method,assay,round,bin,MCC
dnn,TA1537_S9,1,>3,0.6238801570138275
dnn,TA1537_S9,2,0-1,0.3535533905932738
dnn,TA1537_S9,2,2-3,0.7947194142390263
dnn,TA1537_S9,2,>3,0.6362634123848543
dnn,TA1537_S9,3,0-1,0.3535533905932738
dnn,TA1537_S9,3,2-3,0.7947194142390263
dnn,TA1537_S9,3,>3,0.662382723488562
dnn,TA1537_S9,4,0-1,0.3535533905932738
dnn,TA1537_S9,4,2-3,0.8556035391861949
dnn,TA1537_S9,4,>3,0.5823566207017152
dnn,TA1537_S9,5,0-1,0.3535533905932738
dnn,TA1537_S9,5,2-3,0.7947194142390263
dnn,TA1537_S9,5,>3,0.6096072059552505
dnn,TA1537_S9,6,0-1,0.3535533905932738
dnn,TA1537_S9,6,2-3,0.7392960871352163
dnn,TA1537_S9,6,>3,0.6202005499568904
dnn,TA1537_S9,7,0-1,0.2581988897471611
dnn,TA1537_S9,7,2-3,0.8556035391861949
dnn,TA1537_S9,7,>3,0.629612826237683
dnn,TA1537_S9,8,0-1,0.2581988897471611
dnn,TA1537_S9,8,2-3,0.7947194142390263
dnn,TA1537_S9,8,>3,0.629612826237683
dnn,TA1537_S9,9,0-1,0.2581988897471611
dnn,TA1537_S9,9,2-3,0.7947194142390263
dnn,TA1537_S9,9,>3,0.6380124867279819
dnn,TA1537_S9,10,0-1,0.6454972243679028
dnn,TA1537_S9,10,2-3,0.8556035391861949
dnn,TA1537_S9,10,>3,0.6873197049480932
dnn,TA1537_S9,11,0-1,0.2581988897471611
dnn,TA1537_S9,11,2-3,0.8556035391861949
dnn,TA1537_S9,11,>3,0.5092036136840069
dnn,TA1537_S9,12,0-1,0.3535533905932738
dnn,TA1537_S9,12,2-3,0.7392960871352163
dnn,TA1537_S9,12,>3,0.6362634123848543
dnn,TA1537_S9,13,0-1,0.2581988897471611
dnn,TA1537_S9,13,2-3,0.7947194142390263
